ak,28.19533462727273
al,27.01068086818182
ar,30.957665963636362
az,17.08086365909091
ca,14.08618820909091
co,19.752836645454547
ct,13.764250568181819
dc,11.924571068181818
de,15.122872713636363
fl,18.824613168181816
ga,23.739739722727272
hi,12.764656118181819
ia,32.0110881
id,33.22799153636364
il,22.393625431818183
in,26.988708745454545
ks,30.437012554545454
ky,27.38228297272727
la,23.85426350909091
ma,13.024382959090909
md,14.765536468181818
me,13.299767531818182
mi,20.262048336363637
mn,24.26048454090909
mo,32.64369675454545
ms,27.13341680909091
mt,36.68173679090909
nc,20.64090549090909
nd,40.97714245454546
ne,34.04686429090909
nh,12.48589469090909
nj,12.134110463636365
nm,18.56531603181818
nv,18.98610540909091
ny,12.945049118181817
oh,21.342156545454547
ok,32.167164413636364
or,15.872846504545455
pa,16.165091445454546
ri,14.872202177272728
sc,22.957162963636364
sd,45.99920176818182
tn,28.30388286818182
tx,23.970886745454546
ut,33.4442503
va,18.39071175
vt,11.395295795454546
wa,16.308993645454546
wi,34.27236489090909
wv,27.07439445
wy,30.4660172
